github.com/AlDanial/cloc v 1.76  T=1.01 s (178.0 files/s, 14608.3 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                    blank        comment           code
.\app\Http\Requests\StoreClienteRequest.php                                                                 5              0             28
.\database\migrations\2026_04_14_233000_create_historial_bajas_table.php                                    3              0             27
.\database\migrations\2026_04_10_223505_create_productos_table.php                                          3              0             27
.\resources\views\auth\verify-email.blade.php                                                               5              0             26
.\resources\views\profile\edit.blade.php                                                                    3              0             26
.\database\factories\UserFactory.php                                                                        5             14             26
.\database\migrations\2026_04_10_204957_create_medicamentos_table.php                                       3              0             26
.\app\Models\Medicamento.php                                                                                5              0             25
.\database\migrations\2026_04_15_125110_create_cotizacion_detalles_table.php                                3              0             25
.\database\migrations\2026_04_15_125102_create_cotizaciones_table.php                                       3              0             25
.\database\migrations\0001_01_01_000001_create_cache_table.php                                              4              6             25
.\database\migrations\2026_04_10_161345_create_clientes_table.php                                           3              0             25
.\tests\Feature\Auth\RegistrationTest.php                                                                   7              0             24
.\database\migrations\2026_04_10_232433_create_inventario_table.php                                         3              0             24
.\resources\views\layouts\guest.blade.php                                                                   4              2             24
.\app\Services\ClienteService.php                                                                           6              0             23
.\app\Models\Cliente.php                                                                                    5              0             23
.\database\factories\ProductoFactory.php                                                                    3              0             23
.\config\session.php                                                                                       34            160             23
.\app\Http\Requests\ProfileUpdateRequest.php                                                                3              5             23
.\database\migrations\2026_04_12_234255_create_detecciones_table.php                                        3              0             22
.\config\app.php                                                                                           22             82             22
.\database\factories\MedicamentoFactory.php                                                                 3              0             21
.\app\Http\Controllers\Admin\DashboardController.php                                                        6              1             21
.\app\Http\Controllers\Auth\PasswordController.php                                                          5              3             21
.\bootstrap\app.php                                                                                         2              1             21
.\resources\views\auth\confirm-password.blade.php                                                           5              1             21
.\database\seeders\DatabaseSeeder.php                                                                       3              0             20
.\app\Models\Deteccion.php                                                                                  7              0             20
.\config\services.php                                                                                       7             11             20
.\test_sistema_completo.py                                                                                  8              9             20
.\app\Http\Controllers\Auth\VerifyEmailController.php                                                       5              3             19
.\database\migrations\2026_05_25_071335_add_lote_to_detecciones_table.php                                   3              3             19
.\database\migrations\2026_04_16_025344_add_lote_to_cotizacion_detalles.php                                 4             10             19
.\iniciar.bat                                                                                               9              0             19
.\app\Http\Middleware\ForcePasswordChange.php                                                               4              1             19
.\resources\views\auth\forgot-password.blade.php                                                            4              2             19
.\database\migrations\2026_05_15_061419_add_must_change_password_to_users_table.php                         3              0             19
.\database\migrations\2026_05_04_203130_add_lotes_descontados_to_cotizacion_detalles.php                    3              6             19
.\database\migrations\2026_05_05_195827_add_user_id_to_inventario_table.php                                 3              8             17
.\app\Http\Requests\UpdateMedicamentoRequest.php                                                            4              9             16
.\tailwind.config.js                                                                                        3              3             16
.\vite.config.js                                                                                            1              0             16
.\app\Http\Requests\StoreMedicamentoRequest.php                                                             4              9             16
.\database\migrations\2026_05_05_034845_alter_estado_enum_in_cotizaciones_table.php                         3              6             16
.\ocr_service\test_app.py                                                                                   5              2             16
.\app\Http\Controllers\Auth\EmailVerificationNotificationController.php                                     5              3             16
.\app\Console\Commands\UpdateInventoryStatus.php                                                            7             13             15
.\app\Http\Controllers\Auth\EmailVerificationPromptController.php                                           3              3             15
.\app\View\Components\AppLayout.php                                                                         3              3             11
.\app\View\Components\GuestLayout.php                                                                       3              3             11
.\Dockerfile                                                                                                5              0             10
.\tests\Unit\ExampleTest.php                                                                                3              3             10
.\tests\Feature\ExampleTest.php                                                                             3              5             10
.\tests\Unit\OcrModuleTest.php                                                                              3              3             10
.\public\index.php                                                                                          6              4             10
.\artisan                                                                                                   6              3              9
.\resources\views\components\nav-link.blade.php                                                             2              0              9
.\resources\views\components\responsive-nav-link.blade.php                                                  2              0              9
.\resources\views\components\input-error.blade.php                                                          1              0              8
.\tests\TestCase.php                                                                                        3              1              6
.\postcss.config.js                                                                                         0              0              6
.\resources\views\components\auth-session-status.blade.php                                                  1              0              6
.\routes\console.php                                                                                        2              0              6
.\ocr_service\test_ocr.py                                                                                   2              1              5
.\resources\js\app.js                                                                                       4              0              5
.\app\Http\Controllers\Controller.php                                                                       2              1              5
.\bootstrap\providers.php                                                                                   2              0              5
.\resources\views\components\input-label.blade.php                                                          1              0              4
.\ocr_service\test_prueba.py                                                                                1              0              4
.\resources\views\components\application-logo.blade.php                                                     0              0              3
.\resources\views\components\danger-button.blade.php                                                        0              0              3
.\resources\views\components\secondary-button.blade.php                                                     0              0              3
.\resources\css\app.css                                                                                     0              0              3
.\resources\views\components\primary-button.blade.php                                                       0              0              3
.\resources\js\bootstrap.js                                                                                 1              0              3
.\ocr_service\logica_ocr.py                                                                                 0              1              2
.\resources\views\components\text-input.blade.php                                                           1              0              2
.\resources\views\components\dropdown-link.blade.php                                                        0              0              1
-------------------------------------------------------------------------------------------------------------------------------------------
SUM:                                                                                                     1862           1232          11680
-------------------------------------------------------------------------------------------------------------------------------------------

-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Blade                           58            768            230           7228
PHP                            108           1010            954           4122
Python                           6             61             45            252
JavaScript                       5              9              3             46
DOS Batch                        1              9              0             19
Dockerfile                       1              5              0             10
CSS                              1              0              0              3
-------------------------------------------------------------------------------
SUM:                           180           1862           1232          11680
-------------------------------------------------------------------------------
